timestamp,latitude,longitude
1647696963,92.9629,45.4720
1647697023,97.7726,47.1697
1647697083,102.8922,48.6303
1647697143,108.2558,49.8180
1647697203,113.9201,50.7288
1647697263,119.7732,51.3290
1647697323,125.7438,51.6046
1647697383,131.6949,51.5503
1647697443,137.6353,51.1668
1647697503,143.4338,50.4626
1647697563,149.0162,49.4551
1647697623,154.2879,48.1787
1647697683,159.3068,46.6374
1647697743,164.0125,44.8681
1647697803,168.4069,42.8969
1647697863,172.4677,40.7685
1647697923,176.2821,38.4701
1647697983,179.8378,36.0401
1647698043,-176.8400,33.4970
1647698103,-173.7247,30.8563
1647698163,-170.8150,28.1546
1647698223,-168.0428,25.3627
1647698283,-165.4089,22.5119
1647698343,-162.8931,19.6120
1647698403,-160.4932,16.6926
1647698463,-158.1586,13.7216
1647698523,-155.8880,10.7221
1647698583,-153.6855,7.7279
1647698643,-151.4999,4.6950
1647698703,-149.3347,1.6526
1647698763,-147.1777,-1.3917
1647698823,-145.0148,-4.4330
1647698883,-142.8503,-7.4411
1647698943,-140.6344,-10.4603
1647699003,-138.3696,-13.4608
1647699063,-136.0417,-16.4348
1647699123,-133.6547,-19.3515
1647699183,-131.1510,-22.2527
1647699243,-128.5317,-25.1052
1647699303,-125.7756,-27.9006
1647699363,-122.8877,-30.6039
1647699423,-119.7964,-33.2486
1647699483,-116.4998,-35.7984
1647699543,-112.9735,-38.2367
1647699603,-109.1922,-40.5454
1647699663,-105.1676,-42.6866
1647699723,-100.8133,-44.6731
1647699783,-96.1489,-46.4617
1647699843,-91.1723,-48.0256
1647699903,-85.9391,-49.3286
1647699963,-80.3944,-50.3661
1647700023,-74.6294,-51.1035
1647700083,-68.7123,-51.5232
1647700143,-62.7757,-51.6151
